decade,rank,place,edition_count
1470-1479,1,Deventer,1477
1470-1479,2,Lübeck,1476
1470-1479,3,Venezia,1475
1470-1479,4,Napoli,1474
1470-1479,5,Roma,1471
1480-1489,1,Leipzig,1487
1480-1489,2,Augsburg,1485
1480-1489,3,Milano,1480
1480-1489,4,Roma,577
1480-1489,5,Rome,500
1490-1499,1,Leipzig,74974
1490-1499,2,Salamanca,33347
1490-1499,3,Basel,1499
1490-1499,4,Valencia,1497
1490-1499,5,Rouen,1495
1500-1509,1,Roma,1509
1500-1509,2,Frankfurt,1508
1500-1509,3,Paris,1505
1500-1509,4,Leipzig,1504
1500-1509,5,Firenze,1503
1510-1519,1,Milan,81121
1510-1519,2,Deventer,44354
1510-1519,3,Antwerp,1519
1510-1519,4,Napoli,1518
1510-1519,5,Lyon,1517
1520-1529,1,Strasbourg,70950
1520-1529,2,Augsburg,1529
1520-1529,3,Köln,1527
1520-1529,4,Lyon,1525
1520-1529,5,Venezia,1523
1530-1539,1,Brescia,80051
1530-1539,2,Paris,18501
1530-1539,3,Roma,1537
1530-1539,4,Venezia,1536
1530-1539,5,Frankfurt,1535
1540-1549,1,Toulouse,80307
1540-1549,2,Lyon,1549
1540-1549,3,London,1548
1540-1549,4,Antwerp,1547
1540-1549,5,Köln,1546
1550-1559,1,Antwerp,64303
1550-1559,2,Deventer,42128
1550-1559,3,Roma,10070
1550-1559,4,Frankfurt,1558
1550-1559,5,Venezia,1556
1560-1569,1,Lyon,56720
1560-1569,2,London,2323
1560-1569,3,Venezia,1569
1560-1569,4,Roma,1568
1560-1569,5,Antwerp,1567
1570-1579,1,Antwerp,2132
1570-1579,2,Frankfurt,1577
1570-1579,3,Roma,1576
1570-1579,4,Lyon,1573
1570-1579,5,Venezia,1572
1580-1589,1,London,3217
1580-1589,2,Antwerp,2329
1580-1589,3,Lyon,1924
1580-1589,4,Roma,1587
1580-1589,5,Basel,1586
1590-1599,1,Lyon,1807
1590-1599,2,Roma,1802
1590-1599,3,Antwerp,1702
1590-1599,4,Venezia,1599
1590-1599,5,Basel,1598
1600-1609,1,Paris,3862
1600-1609,2,London,3834
1600-1609,3,Leipzig,1608
1600-1609,4,Frankfurt,1607
1600-1609,5,Ferrara,1606
1610-1619,1,Basel,20441
1610-1619,2,Paris,5573
1610-1619,3,Venezia,3180
1610-1619,4,Milano,1617
1610-1619,5,London,1616
1620-1629,1,Roma,40424
1620-1629,2,London,5049
1620-1629,3,Lyon,1627
1620-1629,4,Antwerp,1626
1620-1629,5,Venezia,1624
1630-1639,1,Milan,40225
1630-1639,2,Amsterdam,10300
1630-1639,3,London,5541
1630-1639,4,Leipzig,3568
1630-1639,5,Milano,1639
1640-1649,1,Leiden,15484
1640-1649,2,Roma,1645
1640-1649,3,Amsterdam,1643
1640-1649,4,Rome,1642
1640-1649,5,Köln,1641
