  bid  ,  short_title  ,  format_label  
2062,  ,  Quarto  
1786,  ,  Octavo  
1730,  ,  Octavo  
2190,  ,  Folio  
1694,  ,  Octavo  
2169,  ,  Octavo  
1890,  ,  Octavo  
1743,  ,  Octavo  
2170,  ,  Octavo  
1806,  ,  Quarto  
1958,  ,  Octavo  
1851,  ,  Octavo  
1952,  ,  Octavo  
1903,  ,  Octavo  
2148,  ,  Octavo  
1902,  ,  Octavo  
1897,  ,  Octavo  
1936,  ,  Quarto  
1780,  ,  Octavo  
1857,  ,  Octavo  
2171,  ,  Octavo  
2112,  ,  Octavo  
1697,  ,  Quarto  
2161,  ,  Octavo  
1722,  ,  Octavo  
1716,  ,  Octavo  
1710,  ,  Octavo  
1707,  ,  Octavo  
2063,  ,  Quarto  
2215,  ,  Quarto  
1953,  ,  Octavo  
1843,  ,  Folio  
1904,  ,  Octavo  
1864,  ,  Quarto  
1896,  ,  Octavo  
2201,  ,  Quarto  
1955,  ,  Octavo  
1965,  ,  Octavo  
1856,  ,  Octavo  
1624,  ,  Folio  
1807,  ,  Quarto  
2091,  ,  Octavo  
1924,  ,  Quarto  
1655,  ,  Octavo  
1690,  ,  Octavo  
1968,  ,  Octavo  
1642,  ,  Quarto  
1830,  ,  Folio  
2200,  ,  Quarto  
1794,  ,  Quarto  
1929,  ,  Folio  
1877,  ,  Quarto  
1938,  ,  Quarto  
1634,  ,  Quarto  
1609,  ,  Quarto  
1640,  ,  Quarto  
1846,  ,  Quarto  
1833,  ,  Folio  
1885,  ,  Octavo  
1845,  ,  Quarto  
1632,  ,  Quarto  
1805,  ,  Folio  
1646,  ,  Quarto  
2100,  ,  Quarto  
1804,  ,  Folio  
2194,  ,  Quarto  
1612,  ,  Quarto  
1919,  ,  Octavo  
2066,  ,  Quarto  
1854,  ,  Octavo  
1684,  ,  Octavo  
1741,  ,  Octavo  
2104,  ,  Octavo  
1701,  ,  Octavo  
1777,  ,  Octavo  
1728,  ,  Octavo  
2077,  ,  Folio  
2160,  ,  Octavo  
1960,  ,  Octavo  
1951,  ,  Octavo  
1597,  ,  Octavo  
1911,  ,  Octavo  
1779,  ,  Octavo  
1887,  ,  Octavo  
1688,  ,  Octavo  
