cks,SA
CK_Circles of Equant Deferent Epicycle,yes
CK_Lunar Nodes,yes
CK_Multiple Celestial Circles,yes
CK_Definition of Sphere by Euclid,yes
CK_Sphericity of the Heavens,yes
CK_Isoperimetry,yes
CK_09 Spheres,yes
CK_Planets Sizes and Distances,yes
CK_Seven Climate Zones,yes
CK_Tropics,yes
CK_Parallels,yes
CK_Pyramid of a Sign,yes
CK_Sphere Sliced by the Signs,yes
CK_Solar Eclipse,yes
CK_Relation Between the Spheres of Water and Earth,yes
CK_Earth and Cosmos,yes
CK_Zodiac,yes
CK_Horizon,yes
CK_Right and Oblique Sphere,yes
CK_Lunar Eclipse,yes
CK_Negligible Dimensions of the Earth,yes
CK_Sun Orbit,yes
CK_Apparent Size of Stars,yes
CK_Structure of the Sublunar World,yes
CK_Elevation of the Pole,yes
CK_Five Zones,yes
CK_Sphericity of the Water Element,yes
CK_Daily Rotation of the Firmament,yes
CK_Sphericity of the Earth,yes
CK_Visibility of Stars from Varied Locations,yes
CK_Rising and Setting Times at Different Locations,yes
CK_Visibility of Half of the Sky from the Central Earth,yes
CK_Heliacal Rising and Setting,yes
CK_Circles of Natural Days,yes
CK_Sign as Spherical Wedge,yes
CK_Sun in Sign,yes
CK_Motion of the Eighth Sphere,yes
CK_Definition of Sphere by Theodosius,yes
CK_Positions of the Zenith,yes
CK_Chronical Rising and Setting,yes
CK_Cosmic Rising and Setting,yes
CK_Measurements of the Earth,yes
CK_Complete Motion of the Eighth Sphere,yes
CK_Ascensions in the Right and Oblique Sphere,yes
CK_Centrality of Earth,yes
CK_Relations between Arcs of the Zodiac and the Equinoctial,yes
CK_Refraction,yes
CK_Stationary and Retrograde Motion,yes
CK_Colures,yes
CK_Equinoctial,yes
CK_Great and Small Circles Definition,yes
CK_Inequality of Natural Days,yes
CK_Conical Shape of Planetary Shadow,yes
CK_Correlation Between Distances on Earth and Locations of Stars,yes
CK_Qualities of the Aristotelian Elements,yes
CK_Celestial Coordinates,yes
CK_Meridian,yes
CK_Complete Motion of the Eighth Sphere (Thebit),yes
CK_Poles of the world,yes
CK_Four Solstices,yes
CK_Armillary Sphere,yes
CK_08 Spheres,yes
CK_Circle and Diameter Rule,yes
CK_Movement of the Sun,yes
CK_10 Spheres,yes
CK_Symbols of the Elements,yes
CK_Polar Circles,yes
CK_Regions of the Sphere,yes
CK_Ascensions,yes
CK_Assumed Parallellity of the Sun Rays,yes
CK_Additions on Definitions of the Sphere,yes
CK_11 Spheres,yes
CK_Central Intersection of Eclipses,yes
CK_12 Spheres,yes
CK_07 Spheres,yes
CK_Constellations of the Zodiac,yes
CK_Rectangular Shape of the Sign,yes
CK_Geometry for Geometry,no
CK_Venus Lines and Motion,no
CK_Mercury Lines and Motion,no
CK_Introduction to Geometry,no
CK_Sun Lines and Motion,no
CK_Ecumene Conception,no
CK_Terraqueous Globe,no
CK_Sun Proportional Minutes,no
CK_Superior Planets Lines and Motion,no
CK_Superior Planets Proportional Minutes,no
CK_T-O Maps,no
CK_Sun Axis and Poles,no
CK_Moon Proportional Minutes,no
CK_Superior Planets Orbit,no
CK_Venus Orbit,no
CK_Mercury Orbit,no
CK_Planetary Aspects,no
CK_Planetary Conjunctions and Oppositions,no
CK_Parallax,no
CK_Planetary Visible Aspects,no
CK_Astronomical Declination and Latitude,no
CK_Lunar Orbit,no
CK_Moon Axis and Poles,no
CK_Moon Lines and Motion,no
CK_Motion of the Eighth Sphere at  Boundary,no
CK_Mercury Axis and Poles,no
CK_Mercury Proportional Minutes,no
CK_Planetary Latitude,no
CK_Venus Axis and Poles,no
CK_Signs Seasons Climates,no
CK_Reflection,no
CK_Star Maps,no
CK_Populated Earth,no
CK_Venus Proportional Minutes,no
CK_Astrological Houses,no
CK_Planet in Spherical Orbit,no
CK_Distances between Small Circles,no
CK_Astrolabe,no
CK_Geometric Demonstrations for Instruments,no
CK_Meridian Dial,no
CK_Instruments for Horoscopes,no
CK_Catoptrics,no
CK_Nautical Maps,no
CK_Geometry for Cartography,no
CK_Globe,no
CK_Lunar Phases,no
CK_Quadrant,no
CK_Terrestrial Coordinates,no
CK_Square Root,no
CK_Terrestrial Maps,no
CK_Signs of the Zodiac,no
CK_Symbols of the Moon,no
CK_Winds,no
CK_Navigation,no
CK_Compass,no
CK_Relations Between the Spheres of the Sun and the Moon,no
CK_Computus Ecclesiasticus Ancient Representation,no
CK_Computus Ecclesiasticus Month,no
CK_Computus Ecclesiasticus Week,no
CK_Computus Ecclesiasticus Pentacost,no
CK_Comet,no
CK_Superior Planets Axis and Poles,no
CK_Construction of Three Dimensional Shapes,no
CK_Arithmetical Proportions,no
CK_Center of Gravity,no
CK_Sundial,no
CK_Symbols of Planets,no
CK_Jacobs_Staff,no
CK_Heliocentric Astronomy,no
CK_Alhidade,no
CK_Twilight,no
CK_Universal Dial,no
CK_Nocturnal,no
CK_Ephemerides of the Moon,no
CK_Rotation of the Moon,no
CK_Sun Symbols,no
CK_Ruler,no
CK_Quadrant Clock,no
CK_Water Clock,no
CK_Star Constellations,no
CK_Burning Mirror,no
CK_Musical Proportions,no
CK_Saturn Symbols,no
CK_Mercury Symbols,no
CK_Venus Symbols,no
CK_Jupiter Symbols,no
CK_Mars Symbols,no
CK_Zodiac man,no
CK_Nautical Astronomy,no
CK_Syphon,no
CK_Milky way,no
