book,label,bid,authors,publishers,printers,place,year,num_pages,year_interval,place_category
http://sphaera.mpiwg-berlin.mpg.de/id/item/83a6cdfa-6767-45ce-a8c2-1ffa7b63e2c5,Opus sphericum magistri Ioannis de Sacro busto,2118,"Sacrobosco, Johannes de",Company Heirs of Heinrich Quentell,Company Heirs of Heinrich Quentell,Cologne,1503,74,1490-1509,Medium Center
http://sphaera.mpiwg-berlin.mpg.de/id/item/8a20cc2f-df68-4d63-aebf-4c6f0b8f965b,Introductorium compendiosum in Tractatum spere Materialis magistri Joannis de sacrobusto,1860,"John of Glogów;Sacrobosco, Johannes de","Haller, Jan","Ungler, Florian",Kraków,1513,159,1510-1529,Small Center
http://sphaera.mpiwg-berlin.mpg.de/id/item/a094f382-2ad5-4beb-8279-2573d83f91a0,Sphaera Iani de Sacrobusto,1772,"Sacrobosco, Johannes de;Apianus, Petrus","Apianus, Petrus","Apianus, Petrus",Ingolstadt,1526,56,1510-1529,One Book Center
http://sphaera.mpiwg-berlin.mpg.de/id/item/57c8bb3e-1527-4f9a-aabb-4578b652612f,"Quaestiones novae, in libellum de Sphaera Iohannis de Sacro Busto",2117,"Sacrobosco, Johannes de;Beyer, Hartmann","Braubach, Peter","Braubach, Peter",Frankfurt (Main),1549,176,1530-1549,Medium Center
http://sphaera.mpiwg-berlin.mpg.de/id/item/55b5e177-4298-4623-a847-9ba5224147e9,Sphaera Mundi,1865,"Sacrobosco, Johannes de","Cammerlander, Jacob","Cammerlander, Jacob",Strasbourg,1539,78,1530-1549,Small Center
http://sphaera.mpiwg-berlin.mpg.de/id/item/5878e7ce-acc2-414c-ad3d-2a4489a1388c,La sphere du monde,2076,"Piccolòmini, Alessandro","Cavellat, Guillaume","Cavellat, Guillaume",Paris,1550,286,1550-1569,Large Center
http://sphaera.mpiwg-berlin.mpg.de/id/item/5bacd108-d018-4f6b-bf7d-1e9410f64544,"Ioannis de Sacro-Busto libellus, de sphaera",1886,"Sacrobosco, Johannes de;Melanchthon, Philipp","Klug, Joseph","Klug, Joseph",Wittenberg,1540,104,1530-1549,Large Center
http://sphaera.mpiwg-berlin.mpg.de/id/item/79c8f7f0-79ca-40fa-8732-1de6309a344f,Novae quaestiones sphaerae,2162,"Dietrich, Sebastian","Krafft the Elder, Johann","Krafft the Elder, Johann",Wittenberg,1578,342,1570-1589,Large Center
http://sphaera.mpiwg-berlin.mpg.de/id/item/7b90a45a-ac31-4c69-bd33-fe352b3dc2ee,The Arte of Navigation,2078,"Cortés, Martin","Jugge, Richard","Jugge, Richard",London,1561,94,1550-1569,Medium Center
http://sphaera.mpiwg-berlin.mpg.de/id/item/7e393498-6bab-4f25-9112-b48a464621dc,Sphaera Ioannis de Sacro Bosco,1912,"Valeriano, Pierio;Giuntini, Francesco;Sacrobosco, Johannes de;Nunes, Pedro;Vinet, Élie",Company Heirs of Jacopo Giunta,"Barbier, Symphorien",Lyon,1564,238,1550-1569,Medium Center
http://sphaera.mpiwg-berlin.mpg.de/id/item/74cfc312-00b9-4b23-a65b-17568fb30ead,Sphaera Iohannis De Sacrobosco,2198,"Sacrobosco, Johannes de","Richard, Jean","Nutius I., Martinus",Antwerp,1547,78,1530-1549,Medium Center
http://sphaera.mpiwg-berlin.mpg.de/id/item/5e2bde7f-9df0-4bd2-9c00-4a00731f7db4,La Sphera de Iuan de Sacrobosco,2197,"Sáenz de Santayana y Espinosa, Rodrigo;Sacrobosco, Johannes de","Corcuera, Pedro de","Ghemart, Adrián",Valladolid,1568,178,1550-1569,Small Center
http://sphaera.mpiwg-berlin.mpg.de/id/item/7eb8f8d6-8cf0-4e2e-afdd-e8e31dbb818c,Ioannis de Sacro Busto libellus de sphaera,1888,"Melanchthon, Philipp;Sacrobosco, Johannes de","Seitz, Peter I.","Seitz, Peter I.",Wittenberg,1543,246,1530-1549,Large Center
http://sphaera.mpiwg-berlin.mpg.de/id/item/85c0a807-e1d3-4484-beb4-7917fb20fc04,"Elementa doctrinae de circulis coelestibus, et primo motu",2165,"Peucer, Kaspar","Krafft the Elder, Johann","Krafft the Elder, Johann",Wittenberg,1553,330,1550-1569,Large Center
