,region,type,cluster_name,pageURL,coordinates,book_id,book_title,page_number,part,part_title,part_id
31,http://dev.sphaera.mpiwg-berlin.mpg.de/container/ImageRegions.Container/62ed7151-6731-40bd-807e-60166a29c889,Content Illustration,SAC_SIL_00024,http://devmeta.sphaera.mpiwg-berlin.mpg.de/resource/:viewPage?pageiri=http%3A%2F%2Fcontent.mpiwg-berlin.mpg.de%2Fmpiwg%2Fonline%2Fpermanent%2Fsphaera%2F2244_scribonius_disciplina_1591%2Fpageimg%2F2244_scribonius_disciplina_1591_p47.jpg,"244,271,160,153",2244,Disciplina sphaerica,47,http://sphaera.mpiwg-berlin.mpg.de/id/part/e88392dc-180f-4ffb-8a1b-e4ac79676d98,"Isagoge by Scribonius (extended, illustrated)",661
552,http://dev.sphaera.mpiwg-berlin.mpg.de/container/ImageRegions.Container/b60c5d12-b387-4ad0-b3ff-6e818f430afe,Content Illustration,SAC_SIL_00155,http://devmeta.sphaera.mpiwg-berlin.mpg.de/resource/:viewPage?pageiri=http%3A%2F%2Fcontent.mpiwg-berlin.mpg.de%2Fmpiwg%2Fonline%2Fpermanent%2Fsphaera%2F2171_peucer_elementa_1587%2Fpageimg%2F2171_peucer_elementa_1587_p290.jpg,"160,809,377,382",2171,"Elementa doctrinae de circulis coelestibus, et primo motu",290,http://sphaera.mpiwg-berlin.mpg.de/id/part/b17ffe26-f7fa-41c8-8375-5088ba3ddcc5,Elements of the Sphere,309
585,http://dev.sphaera.mpiwg-berlin.mpg.de/container/ImageRegions.Container/75b3fa50-f4a9-43e6-a679-27835accdc6c,Content Illustration,SAC_SIL_00162,http://devmeta.sphaera.mpiwg-berlin.mpg.de/resource/:viewPage?pageiri=http%3A%2F%2Fcontent.mpiwg-berlin.mpg.de%2Fmpiwg%2Fonline%2Fpermanent%2Fsphaera%2F1819_clavius_works_vol_03_1611%2Fpageimg%2F1819_clavius_works_vol_03_1611_p658.jpg,"859,1160,423,456",1819,Christophori Clavii Bambergensis e Societate Iesu Operum Mathematicorum,658,http://sphaera.mpiwg-berlin.mpg.de/id/part/9583d6ac-b4d8-4c1c-b09a-bb79032d2ba5,On Astrolabes by Clavius,384
631,http://dev.sphaera.mpiwg-berlin.mpg.de/container/ImageRegions.Container/d8f6f6cb-cda3-4dc0-be28-07e624bd95c4,Content Illustration,SAC_SIL_00197,http://devmeta.sphaera.mpiwg-berlin.mpg.de/resource/:viewPage?pageiri=http%3A%2F%2Fcontent.mpiwg-berlin.mpg.de%2Fmpiwg%2Fonline%2Fpermanent%2Fsphaera%2F2161_dietrich_quaestiones_1573%2Fpageimg%2F2161_dietrich_quaestiones_1573_p184.jpg,"149,990,625,608",2161,Novae quaestiones sphaerae,184,http://sphaera.mpiwg-berlin.mpg.de/id/part/5c57a2e5-a4b8-4717-946c-7bc5092918db,Quaestiones by S. Dietrich,370
633,http://dev.sphaera.mpiwg-berlin.mpg.de/container/ImageRegions.Container/dd847c85-bc0b-4a22-9ad4-1bba6dd37634,Content Illustration,SAC_SIL_00197,http://devmeta.sphaera.mpiwg-berlin.mpg.de/resource/:viewPage?pageiri=http%3A%2F%2Fcontent.mpiwg-berlin.mpg.de%2Fmpiwg%2Fonline%2Fpermanent%2Fsphaera%2F2161_dietrich_quaestiones_1573%2Fpageimg%2F2161_dietrich_quaestiones_1573_p166.jpg,"152,965,626,633",2161,Novae quaestiones sphaerae,166,http://sphaera.mpiwg-berlin.mpg.de/id/part/5c57a2e5-a4b8-4717-946c-7bc5092918db,Quaestiones by S. Dietrich,370
634,http://dev.sphaera.mpiwg-berlin.mpg.de/container/ImageRegions.Container/33fbd251-7e42-4e9c-923e-d0e990b9aef5,Content Illustration,SAC_SIL_00197,http://devmeta.sphaera.mpiwg-berlin.mpg.de/resource/:viewPage?pageiri=http%3A%2F%2Fcontent.mpiwg-berlin.mpg.de%2Fmpiwg%2Fonline%2Fpermanent%2Fsphaera%2F2161_dietrich_quaestiones_1573%2Fpageimg%2F2161_dietrich_quaestiones_1573_p220.jpg,"149,986,628,608",2161,Novae quaestiones sphaerae,220,http://sphaera.mpiwg-berlin.mpg.de/id/part/5c57a2e5-a4b8-4717-946c-7bc5092918db,Quaestiones by S. Dietrich,370
635,http://dev.sphaera.mpiwg-berlin.mpg.de/container/ImageRegions.Container/1280141e-2feb-41d0-af1b-535c8fd76b5a,Content Illustration,SAC_SIL_00197,http://devmeta.sphaera.mpiwg-berlin.mpg.de/resource/:viewPage?pageiri=http%3A%2F%2Fcontent.mpiwg-berlin.mpg.de%2Fmpiwg%2Fonline%2Fpermanent%2Fsphaera%2F2161_dietrich_quaestiones_1573%2Fpageimg%2F2161_dietrich_quaestiones_1573_p186.jpg,"137,970,635,642",2161,Novae quaestiones sphaerae,186,http://sphaera.mpiwg-berlin.mpg.de/id/part/5c57a2e5-a4b8-4717-946c-7bc5092918db,Quaestiones by S. Dietrich,370
819,http://dev.sphaera.mpiwg-berlin.mpg.de/container/ImageRegions.Container/767c6801-1af5-4802-a5e0-40af33ffbd27,Content Illustration,SAC_SIL_00256,http://devmeta.sphaera.mpiwg-berlin.mpg.de/resource/:viewPage?pageiri=http%3A%2F%2Fcontent.mpiwg-berlin.mpg.de%2Fmpiwg%2Fonline%2Fpermanent%2Fsphaera%2F1741_sacrobosco_sphaera_1594%2Fpageimg%2F1741_sacrobosco_sphaera_1594_p200.jpg,"152,170,726,1090",1741,Sphaera Ioannis de Sacrobosco,200,http://sphaera.mpiwg-berlin.mpg.de/id/part/47ca1af2-b91f-4453-9f46-45b4d9ccdfb4,Compendium by P. Valeriano,251
848,http://dev.sphaera.mpiwg-berlin.mpg.de/container/ImageRegions.Container/48290c9e-2703-423a-9752-2ff9a1f5d733,Content Illustration,SAC_SIL_00259,http://devmeta.sphaera.mpiwg-berlin.mpg.de/resource/:viewPage?pageiri=http%3A%2F%2Fcontent.mpiwg-berlin.mpg.de%2Fmpiwg%2Fonline%2Fpermanent%2Fsphaera%2F2244_scribonius_disciplina_1591%2Fpageimg%2F2244_scribonius_disciplina_1591_p68.jpg,"67,503,330,329",2244,Disciplina sphaerica,68,http://sphaera.mpiwg-berlin.mpg.de/id/part/e88392dc-180f-4ffb-8a1b-e4ac79676d98,"Isagoge by Scribonius (extended, illustrated)",661
943,http://dev.sphaera.mpiwg-berlin.mpg.de/container/ImageRegions.Container/56a1d02a-6868-4b1a-84c0-0c7b8577c870,Content Illustration,SAC_SIL_00267,http://devmeta.sphaera.mpiwg-berlin.mpg.de/resource/:viewPage?pageiri=http%3A%2F%2Fcontent.mpiwg-berlin.mpg.de%2Fmpiwg%2Fonline%2Fpermanent%2Fsphaera%2F1741_sacrobosco_sphaera_1594%2Fpageimg%2F1741_sacrobosco_sphaera_1594_p198.jpg,"281,977,545,473",1741,Sphaera Ioannis de Sacrobosco,198,http://sphaera.mpiwg-berlin.mpg.de/id/part/47ca1af2-b91f-4453-9f46-45b4d9ccdfb4,Compendium by P. Valeriano,251
