year_interval,book,image_weight
1470-1489,http://sphaera.mpiwg-berlin.mpg.de/id/item/01601a31-6b22-487e-bd78-207b797b5e99,3
1470-1489,http://sphaera.mpiwg-berlin.mpg.de/id/item/1169b643-3307-46cf-a0e6-8b238cbdf90d,3
1470-1489,http://sphaera.mpiwg-berlin.mpg.de/id/item/c14eb8dc-52b8-44cf-8f47-f73f91536ef3,3
1490-1509,http://sphaera.mpiwg-berlin.mpg.de/id/item/0d51f877-df85-45e0-9705-85a894125108,7
1490-1509,http://sphaera.mpiwg-berlin.mpg.de/id/item/12f39575-5a33-498c-aa5b-7d3c352a8068,7
1490-1509,http://sphaera.mpiwg-berlin.mpg.de/id/item/27ffb50d-e686-4073-95ea-b3c35621765b,7
1490-1509,http://sphaera.mpiwg-berlin.mpg.de/id/item/33b87a1d-ba4c-4f4b-9591-1622fdc1585b,7
1490-1509,http://sphaera.mpiwg-berlin.mpg.de/id/item/3ba2686c-40e0-4567-b7d1-5f7ccd163918,7
1490-1509,http://sphaera.mpiwg-berlin.mpg.de/id/item/4c3a4e97-21cc-4f3d-b2ef-522a67f0cbf8,7
1490-1509,http://sphaera.mpiwg-berlin.mpg.de/id/item/6b02c9f3-d83d-4600-bae9-65ccddc5ae8b,7
1490-1509,http://sphaera.mpiwg-berlin.mpg.de/id/item/8312e07d-119d-451a-a5a3-46f7c7724156,7
1490-1509,http://sphaera.mpiwg-berlin.mpg.de/id/item/83a6cdfa-6767-45ce-a8c2-1ffa7b63e2c5,7
1490-1509,http://sphaera.mpiwg-berlin.mpg.de/id/item/91b76bf7-e333-47b3-8be0-5dd8f5a69e3c,7
1490-1509,http://sphaera.mpiwg-berlin.mpg.de/id/item/9930ca9b-47e3-46c4-af91-31453f24289f,7
1490-1509,http://sphaera.mpiwg-berlin.mpg.de/id/item/b630a318-fc4d-48cc-9861-edc2957543ee,7
1490-1509,http://sphaera.mpiwg-berlin.mpg.de/id/item/dca5d45d-e20c-4b19-9206-bca1e8f0db3a,7
1490-1509,http://sphaera.mpiwg-berlin.mpg.de/id/item/dccdc790-0362-4ad5-ab03-114e12df8003,7
1490-1509,http://sphaera.mpiwg-berlin.mpg.de/id/item/ddfe8ae6-705c-4a17-a32b-f0b4c9b1d0f5,7
1490-1509,http://sphaera.mpiwg-berlin.mpg.de/id/item/52ff2c5f-d7c6-44a9-b678-52993cd15f4e,5
1510-1529,http://sphaera.mpiwg-berlin.mpg.de/id/item/2d387cba-55e8-4fa6-82b0-f2f5f416f665,7
1510-1529,http://sphaera.mpiwg-berlin.mpg.de/id/item/4f3f307b-5a9b-48ca-80a0-8565805e8b76,7
1510-1529,http://sphaera.mpiwg-berlin.mpg.de/id/item/f8d4c04c-5742-48d6-b06a-5389e0d14e8a,7
1510-1529,http://sphaera.mpiwg-berlin.mpg.de/id/item/a094f382-2ad5-4beb-8279-2573d83f91a0,6
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/f27efcab-c02b-42fc-8a80-ee020d2a223b,9
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/e97b3e22-1980-41aa-b1bd-a13ebc25f468,8
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/e0463511-5184-485b-b743-41e6beba6655,7
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/0ad1e737-3da6-4de0-a031-f330ceee9ed3,6
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/0c1e1c5c-fd9c-4d3e-86e0-aa00da1a862d,6
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/118810e5-9b04-4b7c-a698-4099bb9956a3,6
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/3327fdfd-03cc-4961-bae0-cc05322f4f26,6
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/4bf3bbe4-5ce3-4858-8cb4-16ac939c5a77,6
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/4d5c01d2-c604-485d-9274-7be9efc7fc6d,6
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/5381d783-6eaf-411b-8eb0-b7adcff5ee95,6
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/5bacd108-d018-4f6b-bf7d-1e9410f64544,6
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/67853cbf-338b-4bd2-b611-bc7143dbbdd0,6
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/74cfc312-00b9-4b23-a65b-17568fb30ead,6
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/7caeb9f0-b984-4b46-a579-e10e39dd0333,6
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/7eb8f8d6-8cf0-4e2e-afdd-e8e31dbb818c,6
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/7f550ae8-f1ae-4234-9a27-157601055390,6
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/962df230-6d14-475a-b1f7-dbefc811dd73,6
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/a62d9c0a-4dcb-49fa-8c04-188b3558320a,6
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/b4b6cbab-b3a7-45dc-bf98-899d396680c7,6
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/bdb226d7-e3f4-471a-9f99-e64dc39b8677,6
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/bed1f203-b860-436f-bcdf-37c2df71fb4b,6
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/cde27c39-aaa4-4b0c-9c32-38a72cf5119b,6
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/d6fcee48-57d6-4d60-93c9-8b0a08a93f46,6
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/e0cceec0-219c-4e47-8b10-fdfcecd7dc92,6
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/ebfa7ed8-7391-4349-99bc-2cad1554e220,6
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/b9ef3598-2df9-4211-88cd-bbd7bbe867a0,4
1530-1549,http://sphaera.mpiwg-berlin.mpg.de/id/item/e17fb754-c021-4cd6-bfbb-185fa3c603a1,4
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/b9ee1c57-bd85-4637-96b1-a22fcd0903e2,11
