Publication Title,Unique Article Titles
Journal for the History of Astronomy,13
Early Science and Medicine,12
Isis,7
Imago Mundi,4
The British Journal for the History of Science,4
Journal for the history of astronomy,4
Digital Scholarship in the Humanities,3
History of Science,3
Renaissance Quarterly,3
Intellectual History Review,3
Osiris,3
Critical Inquiry,3
Studies in the History of Art,2
Journal of Complex Networks,2
Scriptorium,2
Early science and medicine,2
Endeavour,2
Centaurus,2
Synthese,2
Journal of Scholarly Publishing,2
Nuncius,2
Zmanim: A Historical Quarterly / זמנים: רבעון להיסטוריה,2
Traditio,2
Transactions of the American Philosophical Society,2
Transactions of the Royal Historical Society,2
Paedagogica historica,2
Journal of the History of Ideas,2
Annals of Science,2
Proceedings of the International Astronomical Union,1
Médiévales,1
Representations,1
Mélanges de l’École française de Rome. Italie et Méditerranée,1
Reading and Writing,1
"NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin",1
Publications of the Astronomical Society of the Pacific,1
Peritia. Journal of the Medieval Academy of Ireland,1
Problems of Education in the 21st Century,1
New Left Review,1
Physics Reports,1
Philosophical Readings,1
New Left review,1
Nouvelle Revue du Seizieme Siecle,1
Perspectives on science,1
Revue d'histoire des sciences,1
Review,1
Abhandlungen zur Geschichte der Medizin und der Naturwissenschaften,1
Schweizerisches Archiv für Volkskunde,1
The American Historical Review,1
דעת: כתב-עת לפילוסופיה יהודית וקבלה,1
undefined,1
Yod,1
Vivarium,1
Viator (Berkeley),1
Transactions of the Charles S. Peirce Society,1
Topics in Cognitive Science,1
The Physics Teacher,1
The Philosophical Review,1
The Lancet Neurology,1
The Journal of Interdisciplinary History,1
The Journal of Economic History,1
Sudhoffs Archiv,1
Science & Education,1
Studies in the History & Philosophy of Science,1
Studies in iconography,1
Studies in history and philosophy of science,1
Studies in History and Philosophy of Science Part C,1
Studies in History and Philosophy of Science,1
Structure and Dynamics,1
Speculum,1
Micrologus,1
Scientific Reports,1
Sciences,1
"Science, New Series",1
Science Advances,1
Monist,1
Journal of Navigation,1
Material Religion,1
Beiträge zur Astronomiegeschichte,1
Digital Humanities Quarterly,1
Datenbank-Spektrum,1
Copernicana,1
Contemporary Educational Psychology,1
Concilium medii aevi,1
Computers in Human Behavior,1
Computers & Education,1
Classica et Medieavalia,1
Central European History,1
Bulletin (British Society for the History of Mathematics),1
Biological Theory,1
Bibliofilia,1
BJHS Themes,1
Erasmus Studies,1
Asian Review of World Histories,1
Art Journal,1
Art History,1
Art Bulletin,1
Archives des Sciences et Compte Rendu Seances de la Societe,1
Archives d'histoire doctrinale et litteraire du moyen age,1
Archive for History of Exact Sciences,1
Annals of science,1
Annals Of Science,1
"Annales. Histoire, Sciences Sociales",1
American Psychologist,1
Aleph: Historical Studies in Science and Judaism,1
Episteme,1
Galilaeana,1
"Manuscript studies (Philadelphia, Pa.)",1
Isis; an International Review Devoted to the History of Science and Its Cultural Influences,1
Le Monde des Cartes: Revue du Comité français de cartographie,1
La Bibliofilía,1
Journal of the Warburg and Courtauld Institutes,1
Journal of Near Eastern Studies,1
Albion,1
Journal of Historical Network Research,1
Journal of Economic History,1
Journal of Economic Growth,1
Journal of Economic Behavior and Organization,1
Journal of Digital Humanities,1
Journal of Communication,1
Jewish History,1
Irish Astronomical Journal,1
Geschichte und Gesellschaft (Göttingen),1
International Journal of Digital Humanities,1
Interdisciplinary Science Reviews,1
Information (Basel),1
In Proceedings of the First International Conference on Digital Access to Textual Cultural Heritage (DATeCH '14),1
Hypothèses,1
Humanities and Social Sciences Communications,1
HoST - Journal of History of Science and Technology,1
History of Universities,1
History of Education,1
Histories,1
Gesta,1
Gesnerus,1
"המדרשה לאומנות, בית ברל המדרשה כתב עת לאמנות ולתרבות בית ברל",1
